"vuln_id","package","comment"
"CVE-2008-6393","psi","False positive: NVD/heuristic CPE match is for the unrelated psi-im:psi project, not this psi coding agent."
"CVE-2026-7168","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-7009","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-6429","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-6276","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-6253","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-5773","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-5545","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-4873","curl","Accepted runtime risk until root nixpkgs advances to curl 8.20.0; fixed by https://github.com/NixOS/nixpkgs/pull/514706."
"CVE-2026-12064","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-11856","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-11586","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-11564","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-11352","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-10536","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-9547","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-9546","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-9545","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-9080","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-9079","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8932","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8927","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8926","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8925","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8924","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8458","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-8286","curl","Accepted runtime risk while root nixpkgs remains pinned to curl 8.19.0; scanner triage reports fixed curl versions are available in newer nixpkgs/upstream."
"CVE-2026-6238","glibc","Accepted runtime risk for dynamic glibc until nixpkgs updates; tracked as NIXPKGS-2026-1286 / https://github.com/NixOS/nixpkgs/issues/514679."
"CVE-2026-5928","glibc","Accepted runtime risk for dynamic glibc until nixpkgs updates; tracked as NIXPKGS-2026-1203 / https://github.com/NixOS/nixpkgs/issues/512406 and fixed on staging by https://github.com/NixOS/nixpkgs/pull/517918."
"CVE-2026-5450","glibc","Accepted runtime risk for dynamic glibc until nixpkgs updates; tracked as NIXPKGS-2026-1206 / https://github.com/NixOS/nixpkgs/issues/512409 and fixed on staging by https://github.com/NixOS/nixpkgs/pull/517918."
"CVE-2026-5435","glibc","Accepted runtime risk for dynamic glibc until nixpkgs updates; tracked as NIXPKGS-2026-1287 / https://github.com/NixOS/nixpkgs/issues/514680."
"CVE-2026-4438","glibc","Accepted as stale scanner hit for this nixpkgs line; NIXPKGS-2026-0689 / https://github.com/NixOS/nixpkgs/issues/502536 is closed completed."
"CVE-2026-4437","glibc","Accepted runtime risk for dynamic glibc until nixpkgs triage completes; NixOS tracker suggestion https://tracker.security.nixos.org/suggestions/by-id/3977/ has no published nixpkgs issue yet."
"CVE-2026-4046","glibc","Accepted runtime risk for dynamic glibc until nixpkgs publishes a tracker issue; no NixOS/nixpkgs issue found on 2026-05-25."
"CVE-2025-15281","glibc","Accepted as stale scanner hit for this nixpkgs line; NIXPKGS-2026-0072 / https://github.com/NixOS/nixpkgs/issues/482394 is closed completed."
"CVE-2026-67215","cjson","Not applicable: the vulnerability is in cJSONUtils_ApplyPatches/cJSONUtils_ApplyPatchesCaseSensitive (RFC 6902 JSON Patch); psi links only libcjson core (-lcjson, never -lcjson_utils) and no source references cJSONUtils or ApplyPatches, so there is no patch-application path. The parser nesting limit (CJSON_NESTING_LIMIT 1000) used by psi is unaffected."
"CVE-2026-16554","cjson","Not applicable to supported Nix targets: this integer-overflow path requires a 32-bit size_t. The flake builds psi only for x86_64 and aarch64 (64-bit), including the CI audit target. Revisit if 32-bit targets are added."
